"date","state","percent_positive","unweighted_ili","ILIp"
2019-12-08,"CA",20.46,2.76788,0.00566308248
2019-12-08,"CO",19.24,4.62243,0.00889355532
2019-12-08,"CT",5.37,2.68605,0.00144240885
2019-12-08,"DE",8.47,0.507614,0.000429949058
2019-12-08,"FL",NA,NA,NA
2019-12-08,"GA",24.71,6.58758,0.01627791018
2019-12-08,"HI",7.57,2.50927,0.00189951739
2019-12-08,"ID",21.88,1.64908,0.00360818704
2019-12-08,"IL",9.02,3.17378,0.00286274956
2019-12-08,"IN",6.57,2.94056,0.00193194792
2019-12-08,"IA",4.81,1.2512,0.0006018272
2019-12-08,"KS",1.75,3.3247,0.0005818225
2019-12-08,"KY",12.09,5.2698,0.0063711882
2019-12-08,"LA",17.92,7.97638,0.01429367296
2019-12-08,"ME",10.94,1.69492,0.00185424248
2019-12-08,"MD",16.21,3.41846,0.00554132366
2019-12-08,"MA",8.81,1.78126,0.00156929006
2019-12-08,"MI",14.24,1.71431,0.00244117744
2019-12-08,"MN",8.04,3.53594,0.00284289576
2019-12-08,"MS",18.05,5.79212,0.0104547766
2019-12-08,"MO",14.37,1.01124,0.00145315188
2019-12-08,"MT",11.36,1.31013,0.00148830768
2019-12-08,"NE",34.23,5.74106,0.01965164838
2019-12-08,"NV",20.93,2.43408,0.00509452944
2019-12-08,"NH",NA,1.14521,NA
2019-12-08,"NJ",NA,3.89477,NA
2019-12-08,"NM",NA,4.97083,NA
2019-12-08,"NY",12.59,2.28183,0.00287282397
2019-12-08,"NC",17.91,2.37158,0.00424749978
2019-12-08,"ND",24.42,3.84914,0.00939959988
2019-12-08,"OH",10.88,1.37638,0.00149750144
2019-12-08,"OK",13.9,4.12587,0.0057349593
2019-12-08,"OR",27.28,3.57619,0.00975584632
2019-12-08,"PA",7.9,2.12233,0.0016766407
2019-12-08,"RI",NA,1.38131,NA
2019-12-08,"SC",9.98,5.92551,0.00591365898
2019-12-08,"SD",1.37,1.66225,0.00022772825
2019-12-08,"TN",12.5,6.97474,0.008718425
