"date","state","unweighted_ili","state_pos","region_pos","hybrid_pos","region.x","ILIp","flu_av7","flu_per_cap_av7","mask_av7","rr_av7","gp_av7","park_av7","transit_av7","work_av7","resid_av7","school_av7","elderly_av7","mask_policy_av7"
2019-10-20,"IA",1.00646,0,0.206327,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"KS",1.41598,0,0.206327,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"KY",1.59703,0.19,3.24507,0.19,4,3.034357e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"LA",5.50797,9.25,5.87209,9.25,6,0.00509487225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"ME",0.924604,0,0.912548,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"MD",1.50493,0.87,0.866667,0.87,3,0.00013092891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"MA",0.989778,1.19,0.912548,1.19,1,0.000117783582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"MI",0.838431,1.2,0.776583,1.2,5,0.00010061172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"MN",2.39513,0.64,0.776583,0.64,5,0.00015328832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"MS",2.96099,2.99,3.24507,2.99,4,0.00088533601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"MO",0.718034,0.19,0.206327,0.19,7,1.3642646e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"MT",0.760525,1.85,2.01493,1.85,8,0.000140697125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"NE",2.12993,1.03,0.206327,1.03,7,0.00021938279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"NV",1.23402,8.82,2.98965,8.82,9,0.00108840564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"NH",0.655594,NA,0.912548,0.912548,1,5.98260993512e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"NJ",2.32372,NA,1.18821,1.18821,2,0.00027610673412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"NM",1.60244,NA,5.87209,5.87209,6,0.00094096718996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"NY",1.03963,0.84,1.18821,0.84,2,8.732892e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"NC",1.27839,1.38,3.24507,1.38,4,0.00017641782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"ND",1.11292,6.4,2.01493,6.4,8,0.0007122688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"OH",0.969159,0.46,0.776583,0.46,5,4.4581314e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-20,"OK",1.96691,0,5.87209,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
