date,state,elderly_mode,school_mode,masking_mode,unweighted_ili,flu_av7,flu_per_cap_av7,mask_av7,rr_av7,gp_av7,park_av7,transit_av7,work_av7,resid_av7
2019-11-24,RI,,,,0.684095,,,,,,,,,
2019-11-24,SC,,,,4.59937,,,,,,,,,
2019-11-24,SD,,,,1.55816,,,,,,,,,
2019-11-24,TN,,,,5.24653,,,,,,,,,
2019-11-24,TX,,,,7.33775,,,,,,,,,
2019-11-24,UT,,,,3.8,,,,,,,,,
2019-11-24,VT,,,,1.37931,,,,,,,,,
2019-11-24,VA,,,,3.41112,,,,,,,,,
2019-11-24,WA,,,,3.56457,,,,,,,,,
2019-11-24,WV,,,,1.21075,,,,,,,,,
2019-11-24,WI,,,,1.7561099999999998,,,,,,,,,
2019-11-24,WY,,,,0.951132,,,,,,,,,
2019-12-01,AL,,,,5.0525699999999985,,,,,,,,,
2019-12-01,AK,,,,2.44837,,,,,,,,,
2019-12-01,AZ,,,,3.03117,,,,,,,,,
2019-12-01,AR,,,,3.39666,,,,,,,,,
2019-12-01,CA,,,,2.71881,,,,,,,,,
2019-12-01,CO,,,,4.0300400000000005,,,,,,,,,
2019-12-01,CT,,,,2.60224,,,,,,,,,
2019-12-01,DE,,,,0.353607,,,,,,,,,
2019-12-01,FL,,,,,,,,,,,,,
2019-12-01,GA,,,,5.1409400000000005,,,,,,,,,
2019-12-01,HI,,,,2.88298,,,,,,,,,
2019-12-01,ID,,,,1.11257,,,,,,,,,
2019-12-01,IL,,,,2.59479,,,,,,,,,
2019-12-01,IN,,,,2.41353,,,,,,,,,
2019-12-01,IA,,,,1.12523,,,,,,,,,
2019-12-01,KS,,,,2.21101,,,,,,,,,
2019-12-01,KY,,,,3.62949,,,,,,,,,
2019-12-01,LA,,,,8.63841,,,,,,,,,
2019-12-01,ME,,,,1.54994,,,,,,,,,
2019-12-01,MD,,,,2.76588,,,,,,,,,
2019-12-01,MA,,,,1.88156,,,,,,,,,
2019-12-01,MI,,,,1.45859,,,,,,,,,
2019-12-01,MN,,,,3.52987,,,,,,,,,
2019-12-01,MS,,,,5.20234,,,,,,,,,
2019-12-01,MO,,,,1.10531,,,,,,,,,
2019-12-01,MT,,,,1.21029,,,,,,,,,
2019-12-01,NE,,,,4.84591,,,,,,,,,
